Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4
,,,,,,,66,7459.904880409845,0.0,0.0,0.0
,,,,,,,67,7893.650831841813,0.0,0.0,0.0
,,,,,,,68,8014.2195446170035,0.0,0.0,0.0
,,,,,,,69,8007.624425394487,0.0,0.0,0.0
,,,,,,,70,7863.720778548497,0.0,0.0,0.0
,,,,,,,71,7597.410504887437,0.0,0.0,0.0
,,,,,,,72,7228.82097431852,0.0,0.0,0.0
,,,,,,,73,6900.1879259083125,0.0,0.0,0.0
,,,,,,,74,6768.9923553568415,0.0,0.0,0.0
,,,,,,,75,6687.356280983669,0.0,0.0,0.0
,,,,,,,76,6726.165429258951,0.0,0.0,0.0
,,,,,,,77,6780.307558512258,0.0,0.0,0.0
,,,,,,,78,7122.44720083245,0.0,0.0,0.0
,,,,,,,79,7696.086285119084,0.0,0.0,0.0
,,,,,,,80,8001.935589701785,0.0,0.0,0.0
,,,,,,,81,7860.43787148674,0.0,0.0,0.0
,,,,,,,82,7668.046889086392,0.0,0.0,0.0
,,,,,,,83,7474.569033600279,0.0,0.0,0.0
,,,,,,,84,7212.623995567434,0.0,0.0,0.0
,,,,,,,85,7137.425664807807,0.0,0.0,0.0
,,,,,,,86,7106.225490598548,0.0,0.0,0.0
,,,,,,,87,6964.222652537357,0.0,0.0,0.0
,,,,,,,88,7005.405647631806,0.0,0.0,0.0
,,,,,,,89,7093.845754989232,0.0,0.0,0.0
,,,,,,,90,7385.787317351086,0.0,0.0,0.0
,,,,,,,91,7564.171649547537,0.0,0.0,0.0
,,,,,,,92,7549.129676236568,0.0,0.0,0.0
,,,,,,,93,7409.041926500017,0.0,0.0,0.0
,,,,,,,94,7136.6322886424805,0.0,0.0,0.0
,,,,,,,95,6828.184801355205,0.0,0.0,0.0
,,,,,,,96,6422.040330752003,0.0,0.0,0.0
,,,,,,,97,6151.536791026559,0.0,0.0,0.0
,,,,,,,98,5928.771630940019,0.0,0.0,0.0
,,,,,,,99,5823.676371588534,0.0,0.0,0.0
,,,,,,,100,5797.164514493256,0.0,0.0,0.0
,,,,,,,101,5850.717227882386,0.0,0.0,0.0
,,,,,,,102,6107.234915825038,0.0,0.0,0.0
,,,,,,,103,6694.315166829264,0.0,0.0,0.0
,,,,,,,104,7030.046675185291,0.0,0.0,0.0
